日期,代码,名称,阶段,信号,置信度,信号依据,触发时间,信号强度,备注,信号定性,wash_level,wash_reason,need_l2,位置,量价配合,量柱形态
2024-10-25,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-28,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-29,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-30,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,平量柱
2024-10-31,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-01,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-11-04,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-05,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-11-06,001311,多利科技,拉升,拉升,0.8,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+1.46% 当日+9.12% → 累计+0.11%（滞涨），量120757>1.5×20日均34010 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+1.46% 当日+9.12% → 累计+0.11%（滞涨），量120757>1.5×20日均34010 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-11-07,001311,多利科技,出货,出货,0.33,大盘共振,2026-09-19 20:23:50,弱信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日+9.12% 当日-1.74% → 累计+0.07%（滞涨），量86052>1.5×20日均37606 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（出货全组：符号比71%负，中位数偏负；不实时分流个股牛熊，牛股子集偏弱/熊横子集明确反向）,confirmed,判据2命中：位置=高位，前一日+9.12% 当日-1.74% → 累计+0.07%（滞涨），量86052>1.5×20日均37606 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,价跌量缩,缩量柱
2024-11-08,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日-1.74% 当日+3.59% → 累计+0.02%（滞涨），量81830>1.5×20日均40147 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=高位，前一日-1.74% 当日+3.59% → 累计+0.02%（滞涨），量81830>1.5×20日均40147 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,价升量缩,平量柱
2024-11-11,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日+3.59% 当日+3.95% → 累计+0.08%（滞涨），量73066>1.5×20日均42448 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=高位，前一日+3.59% 当日+3.95% → 累计+0.08%（滞涨），量73066>1.5×20日均42448 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,价升量缩,缩量柱
2024-11-12,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,高位,价跌量缩,缩量柱
2024-11-13,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振,2026-09-19 20:23:50,无信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日-3.19% 当日+5.84% → 累计+0.02%（滞涨），量86253>1.5×20日均46206 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,confirmed,判据2命中：位置=高位，前一日-3.19% 当日+5.84% → 累计+0.02%（滞涨），量86253>1.5×20日均46206 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,量价齐升,普通量柱
2024-11-14,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-15,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-18,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-19,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-20,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-21,001311,多利科技,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-22,001311,多利科技,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-11-25,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-11-26,001311,多利科技,洗盘,洗盘,0.75,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-27,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-11-28,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-29,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-12-02,001311,多利科技,洗盘,洗盘,0.5,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-03,001311,多利科技,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-04,001311,多利科技,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-12-05,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-12-06,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2024-12-09,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-12-10,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-11,001311,多利科技,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-12,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-13,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-12-16,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-17,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-18,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-19,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-12-20,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,平量柱
2024-12-23,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-12-24,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-12-25,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-26,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-12-27,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-30,001311,多利科技,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-12-31,001311,多利科技,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2025-01-02,001311,多利科技,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2025-01-03,001311,多利科技,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2025-01-06,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-07,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,低量柱
2025-01-08,001311,多利科技,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2025-01-09,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-10,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,倍量柱
2025-01-13,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-14,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,倍量柱
2025-01-15,001311,多利科技,洗盘,洗盘,0.75,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2025-01-16,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-17,001311,多利科技,洗盘,洗盘,0.75,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2025-01-20,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-21,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,平量柱
2025-01-22,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,倍量柱
2025-01-23,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-24,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2025-01-27,001311,多利科技,洗盘,洗盘,0.75,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2025-02-05,001311,多利科技,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2025-02-06,001311,多利科技,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2025-02-07,001311,多利科技,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2025-02-10,001311,多利科技,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
